row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,306.78064814814815,219.0
2,0,1,0,128.13,306.78064814814815,210.0
3,0,1,0,136.7,306.78064814814815,210.0
4,0,1,0,159.56,306.78064814814815,213.16666666666666
11,1,0,3,249.9,305.4836111111111,377.6
12,1,0,3,216.4,305.4836111111111,377.0
13,1,0,3,259.2,305.4836111111111,377.6
14,1,0,3,232.3,305.4836111111111,375.975
15,1,1,3,187.6,283.5955172413793,315.0
16,1,1,3,178.6,283.5955172413793,315.0
17,1,1,3,233.7,283.5955172413793,306.0
18,1,1,3,187.6,265.15317307692305,252.44444444444446
19,1,1,3,213.9,265.15317307692305,242.35714285714286
20,1,1,3,194.8,265.15317307692305,242.35714285714286
21,1,1,3,208.4,265.15317307692305,254.0
22,1,1,3,184.0,265.15317307692305,311.8695652173913
23,2,0,2,235.0,209.07189189189188,235.4
24,2,1,2,175.0,209.07189189189188,194.8
25,2,1,2,143.0,209.07189189189188,194.8
26,2,1,2,115.0,209.07189189189188,194.8
27,2,1,2,160.0,209.07189189189188,196.0
28,2,1,2,176.0,209.07189189189188,198.0
29,2,1,2,195.0,209.07189189189188,199.0
30,2,1,2,180.0,209.07189189189188,194.8
31,2,1,2,170.0,209.07189189189188,194.8
32,2,1,2,150.0,209.07189189189188,194.8
33,0,0,0,193.0,306.78064814814815,219.0
34,0,1,0,99.03,306.78064814814815,205.0
35,0,1,0,125.86,306.78064814814815,205.0
36,0,1,0,76.98,306.78064814814815,205.0
37,0,1,0,94.7,306.78064814814815,205.0
38,0,1,0,134.78,306.78064814814815,210.0
39,0,1,0,172.15,306.78064814814815,210.0
40,0,1,0,115.53,306.78064814814815,207.0
41,0,1,0,138.83,306.78064814814815,207.0
42,3,0,3,182.9,209.70129310344834,168.85714285714286
43,3,0,3,176.7,209.70129310344834,188.36363636363637
44,3,0,3,154.9,209.70129310344834,188.0
45,3,0,3,150.0,209.70129310344834,185.0
46,3,1,3,140.2,208.6860619469027,117.0
47,3,1,3,137.0,208.6860619469027,117.0
48,3,1,3,119.3,208.6860619469027,128.5
49,3,1,3,109.2,208.6860619469027,172.22222222222223
50,3,1,3,120.4,208.6860619469027,130.0
51,3,1,3,118.2,208.6860619469027,130.0
52,3,1,3,100.9,208.6860619469027,134.6
53,3,1,3,91.6,208.6860619469027,150.0
54,4,0,4,427.0,500.6763779527559,390.0
55,4,1,4,315.0,472.975,380.0
56,4,1,4,222.0,472.975,380.0
57,4,1,4,210.0,472.975,380.0
58,4,1,4,339.0,472.975,380.0
59,4,1,4,300.0,472.975,380.0
60,4,1,4,261.0,472.975,380.0
62,0,1,0,110.41,306.78064814814815,210.0
63,0,1,0,158.61,306.78064814814815,210.0
64,0,1,0,71.45,306.78064814814815,210.0
65,0,1,0,87.66,306.78064814814815,207.0
66,0,1,0,123.0,306.78064814814815,207.0
