row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,185.74576353796525,173.7998913874069
2,0,1,0,128.13,145.82491893506045,136.76613129535176
3,0,1,0,136.7,157.1125824704227,147.2502847332343
4,0,1,0,159.56,167.16209618994887,156.6689686690633
11,1,0,3,249.9,337.34779580389375,340.0123622843182
12,1,0,3,216.4,329.4155535584649,339.8236300166555
13,1,0,3,259.2,334.5480999507828,337.2793459390672
14,1,0,3,232.3,333.0078070444656,333.17549084605236
15,1,1,3,187.6,268.4360381072486,268.70996061021145
16,1,1,3,178.6,272.5664701664148,272.84460752180934
17,1,1,3,233.7,267.03058807244946,266.6427382370809
18,1,1,3,187.6,191.94656000720747,192.14242969193018
19,1,1,3,213.9,187.22876951904152,187.5129779602545
20,1,1,3,194.8,190.8174364713571,191.01215395480583
21,1,1,3,208.4,196.49119979925183,193.9783631587582
22,1,1,3,184.0,181.48730696361832,207.71255159762603
23,2,0,2,235.0,235.61275537214416,229.43390544595022
24,2,1,2,175.0,148.35850031132267,149.8565081393842
25,2,1,2,143.0,131.85634848791398,135.72348091859217
26,2,1,2,115.0,122.25022120337101,125.94813874636262
27,2,1,2,160.0,163.55825850176817,169.0486691654328
28,2,1,2,176.0,178.05129649876474,180.26210715522254
29,2,1,2,195.0,193.8841959633897,201.36039624063756
30,2,1,2,180.0,160.8917548355785,167.06419983413244
31,2,1,2,170.0,154.13933475472624,158.48351848084792
32,2,1,2,150.0,141.3265261217813,151.60728880276514
33,0,0,0,193.0,174.53837697224762,163.47003487895068
34,0,1,0,99.03,117.78132151208004,111.75052491544844
35,0,1,0,125.86,142.1644395376686,134.60263382399373
36,0,1,0,76.98,110.1474679328229,97.39665035416733
37,0,1,0,94.7,135.117409783856,126.47133322287488
38,0,1,0,134.78,151.742117212994,142.35528549108616
39,0,1,0,172.15,155.70210973260868,146.55897906730794
40,0,1,0,115.53,140.637125193197,131.6372927248777
41,0,1,0,138.83,147.34757254875345,137.760458655059
42,3,0,3,182.9,139.17226631124475,157.07598743988387
43,3,0,3,176.7,137.23699965956243,155.47458000019842
44,3,0,3,154.9,135.8979325026899,150.90412268487975
45,3,0,3,150.0,132.6649850137036,145.62935265101993
46,3,1,3,140.2,96.68030027969463,111.3658058548522
47,3,1,3,137.0,95.33590770806332,110.22807499950791
48,3,1,3,119.3,98.4460125331762,106.98049504635809
49,3,1,3,109.2,94.62732780041192,101.43466708910846
50,3,1,3,120.4,88.33356768888099,100.61212543591655
51,3,1,3,118.2,87.10524100926722,99.26307207333839
52,3,1,3,100.9,89.94684011781199,96.41747257527236
53,3,1,3,91.6,86.45783516697638,91.44758198402344
54,4,0,4,427.0,462.5883221830826,478.77848313723626
55,4,1,4,315.0,338.08549653418487,359.1835776384179
56,4,1,4,222.0,314.97851821179984,343.7343042777506
57,4,1,4,210.0,287.96623968760287,327.2421457865404
58,4,1,4,339.0,382.44231367947,399.2143874297703
59,4,1,4,300.0,371.4207264924556,379.8687417114766
60,4,1,4,261.0,343.7049002578767,362.55907546313506
62,0,1,0,110.41,85.9351526585105,78.9739203555792
63,0,1,0,158.61,119.65994132025212,112.12180341370716
64,0,1,0,71.45,85.82133113105373,78.86931901414862
65,0,1,0,87.66,70.96592751307377,65.53819527763787
66,0,1,0,123.0,115.54894421899334,104.00089265219502
67,0,1,0,56.33,71.43591423965688,66.117452806722
68,0,1,0,73.58,64.48726026352159,59.55504006189345
69,0,1,0,102.63,111.12465200196084,101.58342529843544
70,0,1,0,43.15,64.74521205059493,59.92487879212982
71,5,0,2,83.3,195.53977199796242,211.17793518898029
72,5,1,2,76.1,174.23043864934573,192.2014793371945
73,5,1,2,54.4,162.6371215303315,179.5078102465429
74,5,1,2,72.5,153.94213369107092,170.90078592439968
75,5,1,2,81.3,157.44347107600808,174.97846745390027
76,5,1,2,72.8,153.94213369107092,170.90078592439968
77,5,1,2,71.6,153.94213369107092,170.90078592439968
78,6,0,4,590.2,753.9830992042525,742.642374722979
79,6,1,4,550.2,650.2966867359146,673.1982393421853
80,6,1,4,517.3,566.436391993904,617.7875286955344
81,6,1,4,452.9,550.3963105633583,567.4369655231106
86,7,0,1,475.0,542.3612866395797,534.4402342091774
87,7,1,1,240.0,401.0653594904774,419.53687974085125
88,7,1,1,250.0,414.68443714631985,462.21088784394783
89,7,1,1,237.0,304.63615898549625,351.5382227230796
90,7,1,1,455.0,538.17517157816,466.40785425111164
91,7,1,1,375.0,488.934548447027,459.34486511382823
92,7,1,1,474.0,503.0790901168453,482.75233895215
93,7,1,1,411.0,425.7574225308462,403.40622686777607
94,1,0,3,247.0,333.0078070444656,333.17549084605236
95,1,1,3,221.0,245.2142711023957,240.57343505570515
96,1,1,3,250.0,280.79696531212085,282.2054517335042
97,1,1,3,231.0,292.203276756036,292.5221373349542
98,1,1,3,273.0,305.8584788607315,308.27432464559524
99,8,0,2,1051.0,1179.5717759193449,1250.5634327586354
100,8,0,2,950.0,1159.551524357456,1167.4122473030857
101,8,1,2,831.0,456.31798506299634,429.4685983080165
102,8,1,2,751.0,425.6240823934599,389.8268456029536
103,8,1,2,777.0,745.5090321174837,723.9297687966858
104,8,1,2,801.0,711.643669697459,747.6476081175284
105,8,1,2,751.0,928.9172911417173,880.6376208853655
106,8,1,2,739.0,927.9221995485989,879.6942483144343
107,9,0,2,362.0,324.68936973554935,307.6505373516964
108,9,1,2,276.0,227.01103004560966,230.63102928026797
109,9,1,2,274.0,186.89637705915163,203.85860338623564
110,9,1,2,310.0,173.06820846709007,173.88114283863843
111,9,1,2,270.0,164.2191459705855,164.9905146084667
112,9,0,2,453.0,494.64064599398495,481.83615255614677
113,9,1,2,427.0,419.77132073829273,391.3981552062811
114,9,1,2,365.0,372.1770559637764,359.44059001568667
115,9,1,2,422.0,368.7769334702998,357.957930206881
116,9,1,2,427.0,263.0760076116048,302.1599707546753
117,9,0,2,532.0,579.1679310718357,467.5525338314089
118,9,1,2,528.0,463.449036605082,431.2037111412502
119,9,1,2,534.0,402.605836515384,386.68917179168795
120,9,1,2,460.0,383.5331801234735,349.3190167152545
121,9,1,2,480.0,335.62119446318695,326.5568361041457
122,10,0,1,423.0,476.4076869803639,360.861665192479
123,10,1,1,394.0,286.76333153794025,251.18930795925309
124,10,1,1,373.0,328.21549493492915,306.31335793003944
125,10,1,1,207.0,268.504081960595,242.7807197267002
126,10,0,1,568.0,753.0601168918773,592.2554389984922
127,10,1,1,443.0,545.4757194668631,440.2203718930585
128,10,1,1,467.0,574.5761491034435,475.13167689759683
129,10,1,1,484.0,551.979414535838,441.700825586462
130,10,1,1,340.0,550.4134743306507,463.8372506071081
131,10,1,1,512.0,545.1840658733812,460.85128299773845
132,10,0,1,508.0,756.2627188039693,652.6089975739283
133,10,1,1,428.0,550.4136804493887,508.76415722695236
134,10,1,1,383.0,583.9136756186502,538.9585186012804
135,10,1,1,420.0,504.7512415867044,452.1769080052163
136,10,0,1,455.0,694.2534344360207,570.0197622290898
137,10,1,1,511.0,513.7326538155862,450.138460456394
138,10,1,1,488.0,546.271931901993,469.8052240959785
139,11,0,4,649.0,970.6954938005163,737.6437602474895
140,11,1,4,529.0,714.0334133858845,581.3375538209473
141,11,1,4,612.0,730.0252379977499,565.7990360297974
142,12,0,1,101.65,69.77295805235127,72.72993260601334
