row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,168.2855203204304,164.45875100851842
2,0,1,0,128.13,162.2402141291519,132.9656035927809
3,0,1,0,136.7,175.77634844988813,145.30526613475635
4,0,1,0,159.56,185.38884311360894,153.36929128399262
11,1,0,3,249.9,341.95484326548257,355.37400764292045
12,1,0,3,216.4,334.5274419624051,353.23234452912675
13,1,0,3,259.2,356.6680413115511,361.39052237579904
14,1,0,3,232.3,356.8868004221321,358.94188677273274
15,1,1,3,187.6,276.9123916469883,268.479577693604
16,1,1,3,178.6,280.22864766721597,278.2822766442428
17,1,1,3,233.7,268.84846308273984,253.92291942217247
18,1,1,3,187.6,230.96101470767124,223.83596579297966
19,1,1,3,213.9,221.1532449227208,215.61942284715613
20,1,1,3,194.8,228.2320329527114,221.2555568917732
21,1,1,3,208.4,231.23783913249844,246.2815684938016
22,1,1,3,184.0,265.495551487917,275.3209096387254
23,2,0,2,235.0,235.069540937944,269.5398100632738
24,2,1,2,175.0,159.85604388520488,193.66155982307947
25,2,1,2,143.0,154.91831677572162,177.08935202883265
26,2,1,2,115.0,136.00000611697996,164.65513908196073
27,2,1,2,160.0,173.62003863886412,196.6002732833001
28,2,1,2,176.0,184.75659578789592,208.6855462651982
29,2,1,2,195.0,200.13220721022475,216.83273555339537
30,2,1,2,180.0,155.92909467868918,192.6393565544503
31,2,1,2,170.0,154.91831677572162,177.08935202883265
32,2,1,2,150.0,133.3408189234621,157.13708524234573
33,0,0,0,193.0,171.14422938001132,160.93788755828973
34,0,1,0,99.03,171.98939739210928,155.6055196114984
35,0,1,0,125.86,173.0811809177497,160.22699086529187
36,0,1,0,76.98,145.2843539413659,121.14678611143975
37,0,1,0,94.7,145.2843539413659,121.14678611143975
38,0,1,0,134.78,183.9447383356456,138.84991198763427
39,0,1,0,172.15,185.69129213877912,149.6759862308056
40,0,1,0,115.53,161.86420088621216,111.31101870095915
41,0,1,0,138.83,162.02182099104843,116.11402853459407
42,3,0,3,182.9,145.61109430197456,141.5360430364034
43,3,0,3,176.7,146.3613037885523,141.7628544061795
44,3,0,3,154.9,134.52068474282893,135.4791901795003
45,3,0,3,150.0,124.49471197566095,126.09232354573581
46,3,1,3,140.2,128.30753400152307,80.66960743675259
47,3,1,3,137.0,135.5742836055512,80.74092084407158
48,3,1,3,119.3,121.97176831423124,76.41698621787992
49,3,1,3,109.2,105.7761799465228,72.70986563677496
50,3,1,3,120.4,128.57347249025202,82.51681586729234
51,3,1,3,118.2,135.84022209428014,82.58812927461133
52,3,1,3,100.9,122.05172325239207,78.26419464841979
53,3,1,3,91.6,104.8067732242086,74.55707406731483
54,4,0,4,427.0,506.27537105593757,457.48091355414044
55,4,1,4,315.0,397.5061955243183,380.28070349601575
56,4,1,4,222.0,394.15829099722384,375.6188695030375
57,4,1,4,210.0,356.654031202089,351.34090661800553
