row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,169.09651875326458,174.08376424348745
2,0,1,0,128.13,137.85607456209763,136.78559267002333
3,0,1,0,136.7,147.12634058184824,142.00913198528127
4,0,1,0,159.56,152.53795150202623,148.21691279470653
11,1,0,3,249.9,337.4166942964755,359.5211602439077
12,1,0,3,216.4,338.1809650238982,357.36996831111003
13,1,0,3,259.2,337.8889235888056,357.888882887955
14,1,0,3,232.3,346.8072296999493,353.0833893508404
15,1,1,3,187.6,274.6792903473215,255.57694610317873
16,1,1,3,178.6,277.5767547734957,255.65088168337454
17,1,1,3,233.7,267.8822675713942,252.45492337585847
18,1,1,3,187.6,225.79459317433754,211.02168649360422
19,1,1,3,213.9,221.7558298535105,207.0514484285314
20,1,1,3,194.8,225.0696764509601,209.780353735227
21,1,1,3,208.4,226.29357643479764,221.14006148799893
22,1,1,3,184.0,238.07309964292747,231.09438331068782
23,2,0,2,235.0,246.04654796679318,232.77187537870265
24,2,1,2,175.0,159.12175359100056,147.09726880846458
25,2,1,2,143.0,139.82000853801043,135.39241916114435
26,2,1,2,115.0,119.65329657652846,124.0794001842719
27,2,1,2,160.0,176.57283202063527,163.2077485925699
28,2,1,2,176.0,188.08437031666995,178.5864018986459
29,2,1,2,195.0,207.80121274280344,189.59156047908215
30,2,1,2,180.0,177.78437167344237,163.4041700044725
31,2,1,2,170.0,167.7279861570901,155.45964560973076
32,2,1,2,150.0,143.7949523095182,140.73800415300428
33,0,0,0,193.0,164.98923723699994,167.7292356669984
34,0,1,0,99.03,120.44851137425219,123.31960621604402
35,0,1,0,125.86,143.10430155846004,141.86644070397688
36,0,1,0,76.98,95.5247859692008,101.02218103089001
37,0,1,0,94.7,117.99615799183071,123.39487924488809
38,0,1,0,134.78,145.7284976877279,145.5450531663609
39,0,1,0,172.15,151.83678113144992,150.1710004947036
40,0,1,0,115.53,122.03917874048288,125.67316691308184
41,0,1,0,138.83,130.21665750516686,132.0833062153082
42,3,0,3,182.9,149.32709071535288,146.67103474290164
43,3,0,3,176.7,152.72139825518227,145.7672151451105
44,3,0,3,154.9,148.0843711232774,141.47120285130435
45,3,0,3,150.0,139.96391777561848,134.40657462175676
46,3,1,3,140.2,81.04389824774019,83.57460839142583
47,3,1,3,137.0,81.77282601954178,83.31807786051314
48,3,1,3,119.3,79.42444438907235,80.56321005318082
49,3,1,3,109.2,75.53788526069636,75.44767961207117
50,3,1,3,120.4,74.33513762857113,77.67178246013063
