row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,213.9031907670213,201.1156520396894
2,0,1,0,128.13,163.5244836381129,148.75022593838332
3,0,1,0,136.7,166.32923673040756,154.74914178284175
4,0,1,0,159.56,166.53761994196745,154.24693645775758
11,1,0,3,249.9,361.5000981871704,378.8427717684999
12,1,0,3,216.4,361.5000981871704,367.70147310055677
13,1,0,3,259.2,363.053496672371,379.4360779407524
14,1,0,3,232.3,363.053496672371,374.5621294454311
15,1,1,3,187.6,304.54653993631285,279.6309379945763
16,1,1,3,178.6,304.54653993631285,282.37891135431954
17,1,1,3,233.7,304.54653993631285,264.88325186174194
18,1,1,3,187.6,271.44172407521694,234.85370439430045
19,1,1,3,213.9,269.84608872341926,222.55246304309557
20,1,1,3,194.8,284.3527018994944,234.31963186474246
21,1,1,3,208.4,271.44172407521694,252.69709378770457
22,1,1,3,184.0,309.27475589642006,303.04906480507316
23,2,0,2,235.0,205.30224413816174,277.9844184279148
24,2,1,2,175.0,131.60768020827882,218.77170116066168
25,2,1,2,143.0,131.60768020827882,214.42833611578695
26,2,1,2,115.0,121.65894929313943,199.89649136966224
27,2,1,2,160.0,150.737108394564,241.89056182657004
28,2,1,2,176.0,161.03095857807867,241.89056182657004
29,2,1,2,195.0,168.86133037248476,255.99338710048323
30,2,1,2,180.0,131.60768020827882,214.42833611578695
31,2,1,2,170.0,131.60768020827882,214.42833611578695
32,2,1,2,150.0,121.00838916136696,195.55447835678729
33,0,0,0,193.0,196.58073871005257,184.37934136585906
34,0,1,0,99.03,163.5244836381129,153.55500385204581
35,0,1,0,125.86,163.5244836381129,153.55500385204581
36,0,1,0,76.98,149.46810976860962,111.46672145661194
37,0,1,0,94.7,149.46810976860962,111.46672145661194
38,0,1,0,134.78,166.53761994196745,161.88419311267873
39,0,1,0,172.15,166.53761994196745,164.46139114275897
40,0,1,0,115.53,152.48124607246416,122.19565635988783
41,0,1,0,138.83,152.48124607246416,122.19565635988783
42,3,0,3,182.9,155.82821110038697,164.43460248179372
43,3,0,3,176.7,155.82821110038697,172.44493840455544
44,3,0,3,154.9,155.82821110038697,168.40126914997953
45,3,0,3,150.0,143.98199720819488,159.55074999330876
46,3,1,3,140.2,93.21333282003434,117.03024144219138
47,3,1,3,137.0,93.21333282003434,127.3585991168183
48,3,1,3,119.3,91.1233579925592,123.31492986224237
49,3,1,3,109.2,74.83617308421869,114.84164768007557
50,3,1,3,120.4,93.21333282003434,117.03024144219138
51,3,1,3,118.2,93.21333282003434,127.3585991168183
52,3,1,3,100.9,91.1233579925592,123.31492986224237
53,3,1,3,91.6,74.83617308421869,114.84164768007557
54,4,0,4,427.0,357.88167470201813,358.82945898293
55,4,1,4,315.0,314.58378724425995,298.5572279102631
56,4,1,4,222.0,314.58378724425995,293.55665808750297
57,4,1,4,210.0,302.6920808198565,281.06973055030454
58,4,1,4,339.0,314.58378724425995,298.5572279102631
59,4,1,4,300.0,314.58378724425995,293.55665808750297
60,4,1,4,261.0,302.6920808198565,281.06973055030454
62,0,1,0,110.41,163.5244836381129,145.82341717872328
63,0,1,0,158.61,173.4925718217503,166.65508230753068
64,0,1,0,71.45,163.5244836381129,145.82341717872328
65,0,1,0,87.66,149.46810976860962,106.1348804259323
66,0,1,0,123.0,149.46810976860962,106.1348804259323
67,0,1,0,56.33,159.43619795224697,126.96654555473964
68,0,1,0,73.58,149.46810976860962,106.1348804259323
69,0,1,0,102.63,149.46810976860962,106.1348804259323
70,0,1,0,43.15,149.46810976860962,106.1348804259323
71,5,0,2,83.3,246.90603043652564,237.60451264072725
72,5,1,2,76.1,191.36725790297157,185.4406874801868
73,5,1,2,54.4,191.36725790297157,185.4406874801868
74,5,1,2,72.5,191.36725790297157,185.4406874801868
75,5,1,2,81.3,191.36725790297157,185.4406874801868
76,5,1,2,72.8,191.36725790297157,185.4406874801868
77,5,1,2,71.6,191.36725790297157,185.4406874801868
78,6,0,4,590.2,880.7811059475777,791.3703183219534
79,6,1,4,550.2,721.6386827271765,723.6678705226846
80,6,1,4,517.3,721.6386827271765,723.6678705226846
81,6,1,4,452.9,721.6386827271765,723.6678705226846
86,7,0,1,475.0,541.530083529557,542.2516106017714
87,7,1,1,240.0,436.89439921435377,410.6045653432765
88,7,1,1,250.0,507.27550557848366,491.40976074315466
89,7,1,1,237.0,456.565694174656,342.68097836626475
90,7,1,1,455.0,545.9896943612216,545.0349387730604
91,7,1,1,375.0,536.3142156164365,543.7251325291047
92,7,1,1,474.0,492.10253788127307,451.6992525090268
93,7,1,1,411.0,481.2102664840735,442.29801972156883
94,1,0,3,247.0,363.053496672371,374.5621294454311
95,1,1,3,221.0,304.54653993631285,262.88536378029613
96,1,1,3,250.0,306.41330352768813,275.494159682659
97,1,1,3,231.0,316.9025664740228,286.1595118833779
98,1,1,3,273.0,323.6085782807342,318.9124795882073
99,8,0,2,1051.0,1554.4271093935533,1667.3086611553151
100,8,0,2,950.0,1551.700127238649,1675.9965768623529
101,8,1,2,831.0,1434.207437166355,1493.0841781236666
102,8,1,2,751.0,1429.0767169092328,1467.2046501303985
103,8,1,2,777.0,1450.3730308672004,1532.9681462772903
104,8,1,2,801.0,1450.3730308672004,1554.1936731344351
105,8,1,2,751.0,1443.3372662365505,1525.6724407034667
106,8,1,2,739.0,1443.3372662365505,1551.1971361082394
107,9,0,2,362.0,300.93667358239105,332.56331012541057
108,9,1,2,276.0,273.8996412576096,264.86275558490826
109,9,1,2,274.0,272.72644402845424,320.8779735963432
110,9,1,2,310.0,263.43900523032966,305.06194014322364
111,9,1,2,270.0,257.3667686578636,216.24414185589882
112,9,0,2,453.0,448.4836505271852,550.8271910994974
113,9,1,2,427.0,384.7110652355611,383.32944815732026
114,9,1,2,365.0,384.7110652355611,374.84161088407154
115,9,1,2,422.0,384.7110652355611,369.2670383884637
116,9,1,2,427.0,383.53786800640574,426.42843927987934
117,9,0,2,532.0,507.691648771413,575.0107220155534
118,9,1,2,528.0,421.42668395401455,387.13560422182314
119,9,1,2,534.0,430.90114598849283,397.93727672549636
120,9,1,2,460.0,421.42668395401455,381.5610317262153
121,9,1,2,480.0,421.42668395401455,381.5610317262153
122,10,0,1,423.0,403.5343204304418,412.4121616198516
123,10,1,1,394.0,302.190987282881,286.35909853150736
124,10,1,1,373.0,302.190987282881,292.3090503346341
125,10,1,1,207.0,328.453786738591,295.02893433139184
126,10,0,1,568.0,621.549589095627,676.9391288183544
127,10,1,1,443.0,542.3281660781906,525.988178563095
128,10,1,1,467.0,548.1615857105961,567.4911849175859
129,10,1,1,484.0,528.4026590917479,529.0586417922988
130,10,1,1,340.0,539.2949304889474,534.8576368715532
131,10,1,1,512.0,545.1283501213529,539.0129716195684
132,10,0,1,508.0,597.9486033643992,666.0755630113437
133,10,1,1,428.0,524.5605999793682,542.8999534999296
134,10,1,1,383.0,524.5605999793682,515.7661362141058
135,10,1,1,420.0,534.2360787241533,570.5616481467897
136,10,0,1,455.0,624.3497731387893,696.9930751090492
137,10,1,1,511.0,539.2949304889474,541.5904839990304
138,10,1,1,488.0,542.3281660781906,536.1529235835997
139,11,0,4,649.0,521.4591390941059,603.7908537863726
140,11,1,4,529.0,449.66832730472083,439.3957268279173
141,11,1,4,612.0,453.29937099196513,442.7632137702196
142,12,0,1,101.65,132.11745565477347,113.79058392183656
143,12,1,1,90.76,97.50848919278111,72.69265417296647
144,12,1,1,79.87,79.04738241186358,84.60566929889714
145,12,1,1,68.98,79.04738241186358,72.41271718913718
146,12,1,1,90.76,91.19050272480402,62.995623787826474
147,12,1,1,88.94,88.50279083189645,61.51796746998644
148,13,0,4,495.0,582.5607712403491,631.2536801207568
149,13,1,4,373.8,459.3885856477943,439.6971400818734
150,14,0,3,57.73,84.32613769587095,80.32118718137467
151,14,1,3,49.09,58.064492941680555,71.98464350821716
152,14,1,3,51.1,58.064492941680555,71.98464350821716
153,14,1,3,44.71,51.798303949585446,71.98464350821716
154,14,1,3,57.04,80.54027170220468,78.81844068897267
155,14,1,3,56.92,80.54027170220468,78.81844068897267
156,14,1,3,55.5,74.27408271010952,78.81844068897267
157,14,0,3,70.15,84.82011960397809,85.4256503874298
158,14,1,3,45.84,62.99944586593614,78.8018223901028
159,14,1,3,49.06,62.99944586593614,78.8018223901028
160,14,1,3,38.89,56.733256873841015,78.8018223901028
161,14,1,3,67.61,81.03425361031181,83.66413557648768
162,14,1,3,66.34,81.03425361031181,83.66413557648768
163,14,1,3,63.85,74.76806461821668,83.66413557648768
164,0,0,0,760.0,738.6639019987772,647.5280540467511
165,0,0,0,480.0,738.6639019987772,612.4738901863682
166,0,1,0,340.0,608.2618280262242,532.2891415212457
167,0,1,0,300.0,608.2618280262242,532.2891415212457
168,0,1,0,360.0,599.7263499791756,511.0133578234264
169,0,1,0,260.0,594.2054541567211,506.062830954956
170,0,1,0,460.0,618.0761245830428,555.347649633282
171,0,1,0,410.0,618.0761245830428,554.7460717668276
172,0,1,0,480.0,612.9093749696365,568.6703277498691
173,0,1,0,360.0,594.2054541567211,506.062830954956
174,0,0,0,193.0,196.58073871005257,186.13234392912506
175,0,1,0,99.0,163.5244836381129,153.7333712811789
176,0,1,0,126.0,163.5244836381129,153.7333712811789
177,0,1,0,77.0,149.46810976860962,111.64508888574503
178,0,1,0,95.0,149.46810976860962,111.64508888574503
179,0,1,0,135.0,166.53761994196745,163.63719567594472
180,0,1,0,172.0,166.53761994196745,166.21439370602496
181,0,1,0,115.0,152.48124607246416,123.9486589231537
182,0,1,0,139.0,152.48124607246416,123.9486589231537
183,15,0,4,56.0,64.31024240288563,34.63026838308834
184,15,1,4,29.0,43.856116511783696,-1.0037081161382144
185,15,1,4,33.0,43.94042288060316,7.849806520519332
186,15,1,4,24.0,46.294787601689954,11.621993070029596
187,15,1,4,47.0,51.937455227017715,20.479270608976687
188,15,1,4,36.0,43.856116511783696,-1.0037081161382144
189,15,1,4,41.0,43.94042288060316,7.849806520519332
190,15,1,4,37.0,46.294787601689954,11.621993070029596
191,15,1,4,56.0,51.937455227017715,20.479270608976687
192,16,0,1,901.0,1021.1444149760699,1007.0224365729971
193,16,1,1,761.0,878.3607298599838,861.729137748159
194,16,1,1,781.0,878.3607298599838,861.729137748159
195,16,1,1,831.0,878.3607298599838,861.729137748159
196,16,1,1,671.0,878.3607298599838,861.729137748159
197,16,1,1,681.0,878.3607298599838,861.729137748159
198,17,0,4,234.0,237.6595290089069,258.86752886211553
199,17,1,4,182.0,185.64349643580775,206.42169647456717
200,17,1,4,145.0,182.35873225928063,203.18159203115272
201,17,1,4,198.0,203.9727153605318,224.50174712918894
202,17,1,4,180.0,200.68795118400467,221.26164268577455
203,17,1,4,213.0,208.5249999929416,226.83513039325553
204,17,1,4,197.0,205.24023581641447,223.59502594984113
205,17,1,4,218.0,211.776008100903,239.72529974621742
206,17,1,4,212.0,208.49124392437588,236.48519530280296
207,17,1,4,220.0,211.776008100903,239.72529974621742
208,17,1,4,215.0,208.49124392437588,236.48519530280296
209,17,1,4,223.0,218.67845182750577,241.6182694397851
210,17,1,4,219.0,215.39368765097865,238.37816499637066
211,0,1,0,128.0,178.84359636869866,167.12797246756702
212,0,1,0,112.0,178.84359636869866,167.12797246756702
213,0,1,0,78.0,142.83096288689035,114.0448345283879
214,0,1,0,98.0,142.83096288689035,114.0448345283879
215,0,1,0,53.0,149.46810976860962,114.0448345283879
216,0,1,0,141.0,149.46810976860962,114.0448345283879
217,0,1,0,147.0,178.84359636869866,171.33727774610045
218,0,1,0,119.0,178.84359636869866,171.33727774610045
219,0,1,0,143.0,163.5244836381129,157.94267655971234
220,0,1,0,166.0,163.5244836381129,157.94267655971234
221,0,1,0,159.0,142.83096288689035,118.25413980692147
222,0,1,0,142.0,142.83096288689035,118.25413980692147
223,0,1,0,99.0,149.46810976860962,118.25413980692147
224,0,1,0,107.0,149.46810976860962,118.25413980692147
225,0,1,0,100.0,149.46810976860962,118.25413980692147
226,0,1,0,158.0,149.46810976860962,118.25413980692147
227,0,1,0,192.0,181.8567326725532,177.03179686233284
228,0,1,0,176.0,181.8567326725532,177.03179686233284
229,0,1,0,152.0,145.84409919074488,123.9486589231537
230,0,1,0,199.0,145.84409919074488,123.9486589231537
231,0,1,0,141.0,152.48124607246416,123.9486589231537
232,0,1,0,185.0,152.48124607246416,123.9486589231537
233,18,0,1,129.0,166.05383589891346,146.819891598642
234,19,0,4,365.0,386.50232901903956,376.16817710964614
235,20,0,2,2450.0,1609.3302734039187,1806.146701764271
236,21,0,3,411.0,398.50622521504306,339.56418235666894
237,22,0,1,216.0,176.84606275535992,179.58780202183576
238,23,0,4,98.0,81.18001684403643,78.77438352874694
239,24,0,0,199.0,223.01978021974836,217.52728566733552
240,25,0,4,330.0,385.5825102266975,401.294209045446
241,26,0,3,440.0,447.57536288042763,435.160855322026
242,27,0,1,578.0,544.8273428977001,546.5777122911993
243,28,0,0,152.0,157.17482661429665,153.99662517338203
244,29,0,2,283.0,328.8622412519806,309.94839413053245
245,30,0,0,194.0,269.48460619140246,219.03495734898948
246,31,0,2,322.0,312.0311579072776,352.87215680946576
247,32,0,0,2153.0,1546.6002929608514,1695.235428282056
248,33,0,3,306.0,316.5982374877428,329.5782343836589
249,34,0,2,330.0,307.2667340288074,291.4060124534982
250,35,0,0,447.0,452.651812956433,448.6425623305496
251,36,0,4,315.0,320.8246401312726,328.9634680986721
252,37,0,4,83.0,92.02754039152191,151.31101383584596
253,38,0,2,600.0,669.4013581597409,662.6737924071118
254,39,0,0,281.0,257.623271008919,208.8590997957099
255,40,0,0,280.0,230.72899698701215,261.82325848490837
256,41,0,2,334.0,304.73196418475646,312.0034279151589
257,42,0,4,260.0,215.17958912199126,217.12975137442479
258,19,0,4,356.0,378.6366267163918,353.4366612133131
259,20,0,2,2050.0,1577.621427580475,1752.7391124670999
260,43,0,4,177.0,188.8813689676882,147.36592299124473
261,44,0,4,78.0,80.86900591231993,79.60971960513037
262,45,0,2,648.0,635.968677641691,683.2016588939848
263,46,0,1,251.0,384.0357183546214,356.26206249189016
264,23,0,4,104.0,81.18001684403643,79.2141601621264
265,47,0,4,341.0,347.9009274475457,342.91617721606536
266,48,0,4,603.0,662.7313869234139,682.2657508207172
267,49,0,2,1450.0,1153.8306117158318,1206.3052715785282
268,50,0,3,244.0,271.1097480028238,228.35237087029677
269,51,0,1,166.0,217.61373833344476,186.41313331600813
270,52,0,1,378.0,307.2993737805733,307.92629261797805
271,53,0,2,187.0,170.96345505750944,170.12977244386363
272,54,0,1,628.0,648.10747008467,612.5563928167522
273,55,0,2,165.0,186.19929333643768,157.9381461083524
274,56,0,2,368.0,372.6020527367711,358.71223414774926
275,57,0,0,243.0,349.48794334363015,318.7623031500597
276,58,0,1,394.0,446.8418818119525,417.1103383480312
277,59,0,0,339.0,325.5306890620311,318.2538153602088
278,60,0,2,498.0,433.36952901918755,420.339590086758
279,61,0,1,307.0,168.25765255310642,154.8246837959826
280,27,0,1,311.0,413.62740642884074,501.185661625686
281,62,0,0,426.0,368.6627362974344,433.5133641407242
282,63,0,0,311.0,283.40157931840344,314.34277415824965
283,64,0,1,83.0,78.03974971387984,74.25436748578868
284,65,0,2,371.0,376.656893450637,433.7425954280886
285,66,0,1,338.0,320.19987700061796,343.95119335816617
286,49,0,2,1100.0,1070.814596036129,1080.07873390646
287,67,0,1,358.0,326.2345305533888,332.0328611886934
288,68,0,4,45.0,73.06102978791594,74.14759699036634
289,68,0,4,97.0,128.66470229052575,138.22365059675715
290,69,0,2,331.0,253.9565192747123,263.4975001113972
291,21,0,3,431.0,456.81951396800906,437.1443201144082
292,70,0,2,34.0,36.09326731978101,4.022441820641321
293,71,0,4,194.0,169.23230796920225,163.67484862650403
294,72,0,4,1381.0,2098.004694182094,1968.340005633914
295,73,0,0,464.0,439.8490120982984,480.9999459173848
296,45,0,2,547.0,518.5001155139923,488.4231208047801
297,74,0,0,668.0,663.6098232349409,661.7938918766815
298,75,0,2,436.0,434.17430213453247,455.65859357546117
299,76,0,3,365.0,368.5049684334253,355.71570818842486
300,77,0,1,227.0,205.28839439414475,188.52520217480074
301,20,0,2,2400.0,1657.3170647569732,1822.1807437223547
302,78,0,4,245.0,271.79196379713915,279.7682532934379
303,79,0,4,245.0,157.52364084082433,148.12388799308604
304,80,0,3,480.0,533.9955928758841,499.9134733447066
305,81,0,2,136.0,127.63582454569317,122.22363744316225
306,82,0,0,301.0,408.0403293273291,434.0651549598076
307,83,0,0,645.0,395.02124836474053,460.0534974750023
308,84,0,0,38.0,61.33091184599492,39.31667754999453
309,85,0,2,362.0,301.5593363335967,316.60553595648094
310,86,0,3,63.0,102.7387731203533,114.18233555384167
311,86,0,3,126.0,83.11498744573328,91.13305676582465
312,87,0,3,799.0,442.2437998937473,455.86684569650197
313,88,0,3,365.0,362.1705046936977,294.1930898499049
314,89,0,2,264.0,232.65938945828603,233.67840315297352
315,90,0,0,262.0,205.3958955857534,236.94948516069124
316,27,0,1,505.0,490.94204196248376,464.64553105565614
317,66,0,1,284.0,367.76308424287237,412.85218003181257
318,91,0,3,265.0,213.01876252818843,242.72705113691438
319,92,0,1,117.0,98.38996225722923,106.80694684576379
320,93,0,4,248.0,241.97141841455067,255.05192474467435
321,94,0,1,136.0,166.05383589891346,163.36153859843373
322,95,0,1,243.0,202.8184429389455,205.91324195011404
323,27,0,1,356.0,399.42025164731734,400.76130118103634
324,79,0,4,181.0,171.07091588021026,179.64300796090168
325,96,0,3,280.0,265.4551036460852,260.44069613545525
326,97,0,0,258.0,241.59614491782676,215.34289132149507
327,98,0,3,1024.0,886.9054778382523,995.2764240173387
328,99,0,1,170.0,245.8954911047978,264.01713097402757
329,99,0,1,540.0,439.95950300934743,442.6694912530502
330,21,0,3,242.0,349.7020033612586,319.91002409603544
331,100,0,3,258.0,283.8998581012701,243.11591483323713
332,101,0,2,145.0,147.16466360992524,151.9825929724311
333,102,0,1,139.0,176.65242953678552,156.89458416955725
334,93,0,4,154.0,175.59900766088555,184.48783364870732
335,103,0,0,113.0,82.85975671621114,93.15584443933147
336,35,0,0,485.0,462.70728783603846,497.63742550161396
337,104,0,2,36.0,70.94164414686453,36.91746574072549
338,104,0,2,71.0,88.40960016135354,93.32221584443231
339,90,0,0,248.0,201.68738219437518,232.36366086707037
340,105,0,2,222.0,210.3975162695269,180.86866449815582
341,31,0,2,335.0,448.18293107859444,433.9717404753102
342,51,0,1,151.0,217.61373833344476,186.41313331600813
343,106,0,2,377.0,383.93975319957246,405.85043597186046
344,107,0,4,49.0,79.31379024262289,64.23378219588864
345,65,0,2,202.0,201.8469085374127,233.98551902897842
346,108,0,3,266.0,321.93964771671654,309.0888894267298
347,109,0,3,1111.0,1026.6830285743383,970.062969967293
348,104,0,2,55.0,76.19574190039603,66.17022459247681
349,20,0,2,2250.0,1610.468579160338,1736.2861030301285
350,110,0,4,196.0,333.13482729097905,309.3519888219689
351,111,0,4,267.0,368.0117089829806,326.59300651230274
352,112,0,4,600.0,668.8971502048552,682.2657508207172
353,30,0,0,176.0,208.0340063516082,198.63808867178722
354,23,0,4,94.0,81.18001684403643,78.77438352874694
355,113,0,3,240.0,191.00932519083926,210.30421999802417
356,114,0,4,182.0,216.05866485823591,239.72204875453966
357,27,0,1,445.0,414.73726350796886,456.57653833569566
358,115,0,3,216.0,224.94114831913203,226.77079219543003
359,114,0,4,109.0,151.48545416484632,127.84506882656643
360,116,0,3,491.0,471.4206934979949,510.0635705121442
361,117,0,1,214.0,199.01562642129537,207.0105877133307
362,118,0,0,395.0,334.08765867337416,401.45271004755205
363,119,0,0,320.0,346.4040113233605,351.83191641327045
364,111,0,4,198.0,233.9919176301116,242.65088473577032
365,47,0,4,405.0,379.307660489251,366.2625189748319
366,37,0,4,61.0,83.53115029442262,85.88035153676492
367,120,0,1,60.0,57.65188192723977,-1.4594538600305489
368,65,0,2,188.0,190.51136884186053,208.40081578297028
369,121,0,3,35.0,36.95155672439374,20.259071022867953
370,122,0,1,349.0,422.4339212346274,401.7604757242501
371,123,0,1,478.0,526.2290113962067,524.1400031254828
372,124,0,3,162.0,186.36885775622324,191.08898291151826
373,125,0,3,301.0,389.4862688459109,350.5266937348575
375,22,0,1,196.0,176.84606275535992,179.58780202183576
376,65,0,2,405.0,411.30570059321536,553.7351291383242
377,83,0,0,543.0,380.86989110403243,376.1765623689712
378,57,0,0,249.0,349.48794334363015,318.7623031500597
379,126,0,1,330.0,237.75484197949675,238.73489025715548
380,115,0,3,220.0,224.94114831913203,226.77079219543003
381,127,0,2,390.0,304.13450014259314,377.3893309396538
382,117,0,1,123.0,159.48158700098614,139.53216051878914
383,128,0,1,246.0,298.15716159466734,270.74624129571396
384,47,0,4,319.0,347.9009274475457,340.2614637219759
385,104,0,2,44.0,66.88500711201912,48.64753620374518
386,27,0,1,329.0,389.7189750056757,379.13194578155037
387,66,0,1,421.0,349.4567976818361,343.16192863800893
388,129,0,3,78.0,80.70310706317963,94.30567055091865
389,130,0,1,626.0,706.5269375621409,602.6678599826744
390,27,0,1,392.0,336.1952381567,331.5177172243665
391,131,0,0,583.0,631.0422429258186,698.6214744553697
392,132,0,1,285.0,257.10817168329976,284.82325117906964
393,133,0,1,239.0,248.69131984308618,213.89034989331813
394,53,0,2,172.0,170.96345505750944,170.12977244386363
395,55,0,2,165.0,201.28012227990607,197.17117570371596
396,19,0,4,351.0,434.6992721871744,416.76357769478534
397,134,0,3,400.0,415.18735855091427,428.23146090940384
398,66,0,1,221.0,252.84943867917298,286.2318463107808
399,135,0,0,183.0,166.26190533998565,177.32928952584746
400,136,0,1,216.0,179.84627630259135,168.18268206186076
401,137,0,2,220.0,203.64964944929469,208.8300181432286
402,98,0,3,540.0,547.9246570192707,624.2704021046522
403,138,0,2,1046.0,1550.183729348049,1551.564413770169
404,27,0,1,334.0,389.7189750056757,391.0597987147696
405,27,0,1,275.0,228.64916283118674,246.73923180401692
406,139,0,3,404.0,348.0895111382,326.14984365119204
407,68,0,4,90.0,120.84192217423818,127.87447054362343
408,140,0,4,245.0,194.72154686556667,187.82906595423538
409,141,0,3,129.0,153.85077056927912,135.26460142320983
410,104,0,2,66.0,91.10674075040109,65.51067033020797
411,142,0,4,313.0,233.63073477989866,244.87563946543992
412,49,0,2,1550.0,1152.463344317491,1261.1438772808126
413,27,0,1,400.0,442.73342064257287,445.32648446415425
414,49,0,2,1200.0,1055.7366908715558,1090.1520839312075
415,27,0,1,364.0,414.73726350796886,431.2704752901948
416,106,0,2,254.0,383.93975319957246,425.54345673661834
417,117,0,1,197.0,168.9096545194473,172.05626533031847
418,111,0,4,199.0,233.9919176301116,242.65088473577032
419,143,0,1,255.0,242.22807710341928,257.7423707777429
420,57,0,0,239.0,349.48794334363015,318.7623031500597
421,47,0,4,297.0,234.17522932094835,257.98193583879333
422,144,0,1,408.0,342.75227713148973,345.4967636926611
423,145,0,2,227.0,240.76243348932385,249.29184949490147
424,146,0,0,180.0,169.0548616199962,168.2877803713487
425,147,0,3,322.0,292.749250823504,288.00714176422275
426,148,0,0,537.0,528.9058710348535,533.9208004963076
427,104,0,2,71.0,78.94531458552575,74.92644837842143
428,149,0,0,332.0,344.7639278072482,393.25942602089646
429,150,0,1,444.0,500.8219520279843,453.0519428024808
430,105,0,2,198.0,188.108486853889,180.95086103182442
431,31,0,2,292.0,333.29325510304767,349.5878388341844
432,31,0,2,301.0,355.8665490458181,326.67091542192344
433,151,0,4,241.0,342.8142942049916,340.6722495419637
434,152,0,1,1659.0,1920.294073046087,1946.8571336350758
435,153,0,4,150.0,160.2503412994622,172.85167141524778
436,111,0,4,356.0,378.49364883315815,347.21508115844495
437,154,0,0,433.0,402.41149564904737,409.3390648969008
438,75,0,2,534.0,479.25128268855866,471.8610856278077
439,155,0,1,686.0,657.9163500765392,687.1691160068813
