row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,160.8224566620852,168.29094396387723
2,0,1,0,128.13,127.95479772529845,129.69459668016327
3,0,1,0,136.7,130.7784288640902,138.58931111559576
4,0,1,0,159.56,135.02779557479514,145.26067664264295
11,1,0,3,249.9,355.22063206101274,349.63526785974364
12,1,0,3,216.4,357.3999542596636,349.2429403675431
13,1,0,3,259.2,352.2726070764392,347.573004305265
14,1,0,3,232.3,347.11665654617786,342.2701381717809
15,1,1,3,187.6,260.8607012518798,246.27707771921482
16,1,1,3,178.6,264.87457141262496,249.12470588991945
17,1,1,3,233.7,259.4949133932999,243.9725960918897
18,1,1,3,187.6,221.66452004582464,215.409343686106
19,1,1,3,213.9,217.7053756467959,212.76213480473632
20,1,1,3,194.8,220.36058093570296,215.3570507269285
21,1,1,3,208.4,237.29967414637022,221.29613602803136
22,1,1,3,184.0,226.71456988785047,233.06567763014465
23,2,0,2,235.0,225.27200414849494,233.79642036984598
24,2,1,2,175.0,146.53306642326498,146.1225274419048
25,2,1,2,143.0,145.2318740133569,139.6010454442422
26,2,1,2,115.0,126.05939746203758,124.89477953875694
27,2,1,2,160.0,161.54580362311745,170.52120662133893
28,2,1,2,176.0,175.86051626197744,176.0358890895235
29,2,1,2,195.0,197.04486045363691,211.84660912766012
30,2,1,2,180.0,163.83782456965983,171.7548420383356
31,2,1,2,170.0,156.9617617300327,158.51610826796815
32,2,1,2,150.0,147.43621124973717,143.3680249468644
33,0,0,0,193.0,152.7614406338527,159.57002320246826
34,0,1,0,99.03,109.55818684324184,110.95768550928682
35,0,1,0,125.86,126.45902947259026,131.07404380469367
36,0,1,0,76.98,91.34115908059482,97.79559613939404
37,0,1,0,94.7,111.97124578407117,116.87289866691444
38,0,1,0,134.78,134.8257212043426,137.23789231458517
39,0,1,0,172.15,138.3442489356476,141.81633906437992
40,0,1,0,115.53,116.36339067165154,121.18249444497025
41,0,1,0,138.83,121.91562594483061,126.79306223015682
42,3,0,3,182.9,151.1306707288664,145.01734339524785
43,3,0,3,176.7,149.41810983791706,145.31494906250987
44,3,0,3,154.9,145.0158987120371,140.9079536259926
45,3,0,3,150.0,138.88180297949836,133.0312853147006
46,3,1,3,140.2,95.94247705109498,91.67657103225699
47,3,1,3,137.0,94.85528982969181,90.21269453488945
48,3,1,3,119.3,92.06062850858557,87.26062566448921
49,3,1,3,109.2,88.16651266691007,80.72422629428722
50,3,1,3,120.4,84.57638216129519,85.14875514253076
51,3,1,3,118.2,83.61799162621134,83.78911374200985
52,3,1,3,100.9,81.15440770415564,81.04724647342326
53,3,1,3,91.6,77.72161922788459,74.63724979102167
54,4,0,4,427.0,473.4562698651143,483.5589946249916
55,4,1,4,315.0,344.0821018854574,342.98768071868665
56,4,1,4,222.0,305.70008454781697,312.4289102577548
57,4,1,4,210.0,326.7935382790761,313.54184438769227
58,4,1,4,339.0,355.14779586470803,347.39045310138556
