row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,171.9622098003543,179.2853605371128
2,0,1,0,128.13,158.68299756366244,151.36879484576886
3,0,1,0,136.7,165.82515873251697,162.2716263983054
4,0,1,0,159.56,164.39678734209647,171.37830537543854
11,1,0,3,249.9,372.2055392099005,365.25413265028476
12,1,0,3,216.4,379.7374118420801,369.84104479875333
13,1,0,3,259.2,371.87748086919,384.5570855434334
14,1,0,3,232.3,367.6910235930711,372.1907822617368
15,1,1,3,187.6,321.37704177948996,304.72916334521256
16,1,1,3,178.6,322.6221142867838,309.405235021965
17,1,1,3,233.7,321.37704177948996,296.50490531998537
18,1,1,3,187.6,244.19915125109407,260.2952401363857
19,1,1,3,213.9,232.45838828855355,253.27418354381558
20,1,1,3,194.8,238.52088097683665,260.2952401363857
21,1,1,3,208.4,315.97074048638103,288.0693435580449
22,1,1,3,184.0,316.5928609117906,299.85764212491677
23,2,0,2,235.0,235.71821993811463,262.41186806867796
24,2,1,2,175.0,188.49353502623165,184.4582236595325
25,2,1,2,143.0,173.90312082511053,172.80829948400094
26,2,1,2,115.0,164.54514692427935,155.37837236746108
27,2,1,2,160.0,180.80917086354975,206.58558672380542
28,2,1,2,176.0,184.34300081827692,217.65733811117605
29,2,1,2,195.0,209.76749412595038,232.89031675870865
30,2,1,2,180.0,188.49353502623165,177.24310703408383
31,2,1,2,170.0,173.90312082511053,172.80829948400094
32,2,1,2,150.0,162.95114573984537,144.15517895281693
33,0,0,0,193.0,163.64524444187376,177.4888373113238
34,0,1,0,99.03,148.62469110548435,146.4795017377349
35,0,1,0,125.86,151.7625418998537,146.4795017377349
36,0,1,0,76.98,148.81280475070662,135.41296521281663
37,0,1,0,94.7,148.81280475070662,135.41296521281663
38,0,1,0,134.78,155.91155221706447,169.32267828362296
39,0,1,0,172.15,163.50651661384214,186.6585761927138
40,0,1,0,115.53,155.91155221706447,159.47506751997244
41,0,1,0,138.83,155.91155221706447,159.47506751997244
42,3,0,3,182.9,131.30002218376703,142.88737199532002
43,3,0,3,176.7,138.92808714110788,153.4123083693368
44,3,0,3,154.9,139.79805581261786,139.61736508142639
45,3,0,3,150.0,136.21014962686897,141.47218585048
46,3,1,3,140.2,86.6025789458819,104.11536589782531
47,3,1,3,137.0,91.2770559063043,112.83501255956963
48,3,1,3,119.3,91.78650400044464,98.14899013121828
49,3,1,3,109.2,98.86635129606974,95.3058753919413
50,3,1,3,120.4,85.99155434142382,105.01055681800801
51,3,1,3,118.2,90.80485522964969,113.7302034797523
52,3,1,3,100.9,91.31430332379003,99.04418105140098
53,3,1,3,91.6,98.23696237040826,96.201066312124
54,4,0,4,427.0,429.3907312730252,412.33665192392886
55,4,1,4,315.0,340.5175835727679,358.0510107718687
56,4,1,4,222.0,264.6956519820968,345.21841039960464
57,4,1,4,210.0,264.6956519820968,326.2586356596024
58,4,1,4,339.0,340.5175835727679,358.0510107718687
59,4,1,4,300.0,264.6956519820968,345.21841039960464
60,4,1,4,261.0,264.6956519820968,326.2586356596024
62,0,1,0,110.41,151.6780607748585,149.2370690833477
63,0,1,0,158.61,151.6780607748585,149.2370690833477
64,0,1,0,71.45,151.2402804869818,148.5460053710127
65,0,1,0,87.66,151.2402804869818,141.386025660577
66,0,1,0,123.0,151.2402804869818,141.386025660577
67,0,1,0,56.33,151.6780607748585,142.07708937291198
68,0,1,0,73.58,151.2402804869818,141.386025660577
69,0,1,0,102.63,151.2402804869818,141.386025660577
70,0,1,0,43.15,151.6780607748585,142.07708937291198
71,5,0,2,83.3,235.98797935449716,213.27731326747886
72,5,1,2,76.1,219.98741384047142,190.90747779988564
73,5,1,2,54.4,219.01185153802734,184.74769900635064
74,5,1,2,72.5,219.98741384047142,190.90747779988564
75,5,1,2,81.3,219.98741384047142,190.90747779988564
76,5,1,2,72.8,219.98741384047142,190.90747779988564
77,5,1,2,71.6,219.98741384047142,190.90747779988564
78,6,0,4,590.2,833.5384124854694,812.1501241665441
79,6,1,4,550.2,825.4129171458374,713.3514322472445
80,6,1,4,517.3,825.4129171458374,713.3514322472445
81,6,1,4,452.9,825.4129171458374,713.3514322472445
86,7,0,1,475.0,570.3677574264659,594.1841989147232
87,7,1,1,240.0,453.01496309429325,480.5934322912083
88,7,1,1,250.0,490.4101402826565,530.1080062167484
89,7,1,1,237.0,454.2729031373409,443.31817076433157
90,7,1,1,455.0,568.9078353644155,587.3727690978208
91,7,1,1,375.0,549.6507748025332,552.0843639251611
92,7,1,1,474.0,498.11216655269504,507.35525165598096
93,7,1,1,411.0,473.6729530573951,492.02619737289086
94,1,0,3,247.0,367.6910235930711,372.1907822617368
95,1,1,3,221.0,323.09246133092984,292.2616170751331
96,1,1,3,250.0,323.09246133092984,314.52727278720215
97,1,1,3,231.0,330.5560196707825,316.8239190140662
98,1,1,3,273.0,358.2093698235752,368.21487352395377
99,8,0,2,1051.0,1054.2025611952326,1381.7017503603379
100,8,0,2,950.0,1054.2025611952326,1369.9271438474793
101,8,1,2,831.0,994.3508010392243,1278.951215382299
102,8,1,2,751.0,994.3508010392243,1298.146714019614
103,8,1,2,777.0,994.3508010392243,1307.1487534766366
104,8,1,2,801.0,994.3508010392243,1329.6082926530003
105,8,1,2,751.0,883.0989939296453,1199.917722335813
106,8,1,2,739.0,883.0989939296453,1223.4203004018252
107,9,0,2,362.0,274.392561003811,314.67465140306734
108,9,1,2,276.0,257.9265226069972,280.1465420515597
109,9,1,2,274.0,247.87103970948309,251.00721561665682
110,9,1,2,310.0,196.99135254666436,204.72253313356666
111,9,1,2,270.0,200.32517481619428,192.21677329321346
112,9,0,2,453.0,385.37684736171104,507.0414043022441
113,9,1,2,427.0,368.6234660079721,499.8227935929359
114,9,1,2,365.0,367.0922237931126,500.9353821660806
115,9,1,2,422.0,336.15196661355543,428.3827471030596
116,9,1,2,427.0,337.68320882841493,417.30566908493734
117,9,0,2,532.0,524.5795859248202,539.3292851621138
118,9,1,2,528.0,505.3444522675911,495.64079447110583
119,9,1,2,534.0,498.7577621049116,500.3622307236664
120,9,1,2,460.0,408.16822462426404,390.07750555899946
121,9,1,2,480.0,408.16822462426404,390.07750555899946
122,10,0,1,423.0,406.4265436700152,403.4698766159884
123,10,1,1,394.0,237.93507906158237,304.7380113142187
124,10,1,1,373.0,237.6681267066744,301.7501539046285
125,10,1,1,207.0,282.7518687567792,333.9683692799697
126,10,0,1,568.0,641.9950952680027,648.0021525389365
127,10,1,1,443.0,579.2444712800918,596.0863299913589
128,10,1,1,467.0,579.7129732362566,609.1521405590842
129,10,1,1,484.0,579.2444712800918,599.4342611847769
130,10,1,1,340.0,606.9432256156234,604.4191809384216
131,10,1,1,512.0,606.9432256156234,598.2871040012211
132,10,0,1,508.0,611.5039408487536,639.5609413856724
133,10,1,1,428.0,560.4559126743744,591.9019081359945
134,10,1,1,383.0,559.9874107182096,577.285714209982
135,10,1,1,420.0,579.7129732362566,619.7574371672952
136,10,0,1,455.0,670.916959337604,655.4139850672902
137,10,1,1,511.0,606.9432256156234,598.417410530647
138,10,1,1,488.0,569.1860664213945,585.9654667255868
139,11,0,4,649.0,599.2085873033236,563.6048444054642
140,11,1,4,529.0,408.83102184916544,453.519420698791
141,11,1,4,612.0,413.4221876516442,461.87249249713113
142,12,0,1,101.65,67.00312426954216,125.82039894893634
143,12,1,1,90.76,69.21579091428904,103.18095510141197
144,12,1,1,79.87,59.365479762156276,89.47235891035658
145,12,1,1,68.98,53.42175140651279,90.65188828955927
146,12,1,1,90.76,57.381110796676204,92.5355758593839
147,12,1,1,88.94,57.381110796676204,94.00840417360956
148,13,0,4,495.0,623.351295802957,603.4962111753406
149,13,1,4,373.8,486.03688643981906,403.817990314839
150,14,0,3,57.73,91.60271970716704,78.62334781372304
151,14,1,3,49.09,87.07998910093742,67.07074591613231
152,14,1,3,51.1,87.07998910093742,67.07074591613231
153,14,1,3,44.71,73.24475579207916,67.77795002262022
154,14,1,3,57.04,89.34982802670164,80.08147356187314
155,14,1,3,56.92,89.34982802670164,80.08147356187314
156,14,1,3,55.5,75.51459471784338,80.78867766836107
157,14,0,3,70.15,109.89319427832241,82.85650653152503
158,14,1,3,45.84,106.03389666049875,73.61695127150757
159,14,1,3,49.06,106.03389666049875,73.61695127150757
160,14,1,3,38.89,92.35585160064733,72.97196380713484
161,14,1,3,67.61,107.64030259785702,84.31463227967512
162,14,1,3,66.34,107.64030259785702,84.31463227967512
163,14,1,3,63.85,93.96225753800559,83.66964481530239
164,0,0,0,760.0,774.7432228475466,529.6633574942057
165,0,0,0,480.0,774.7432228475466,472.6191642091508
166,0,1,0,340.0,694.0653486182055,477.63699134855335
167,0,1,0,300.0,694.0653486182055,477.63699134855335
168,0,1,0,360.0,694.0653486182055,437.992805623231
169,0,1,0,260.0,694.0653486182055,465.6286241858366
170,0,1,0,460.0,711.4986911208398,491.8148927393922
