row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,171.28855193719403,175.42253797520115
2,0,1,0,128.13,126.3547764948356,136.45878458177725
3,0,1,0,136.7,139.32668251465498,147.43013414786324
4,0,1,0,159.56,149.1478471089846,157.1446875316553
11,1,0,3,249.9,310.6485080266852,352.6145643921678
12,1,0,3,216.4,309.340557303506,354.7778980456462
13,1,0,3,259.2,316.88945370232915,353.11677195243016
14,1,0,3,232.3,316.6626375691515,355.26992256219506
15,1,1,3,187.6,215.32458629744605,218.29405262267576
16,1,1,3,178.6,218.63779111391088,221.0621771761608
17,1,1,3,233.7,211.40360935673962,215.13642893988595
18,1,1,3,187.6,196.52395870663662,190.4980389045212
19,1,1,3,213.9,191.67168159430867,185.0365701827726
20,1,1,3,194.8,195.367908673097,189.01987038195333
21,1,1,3,208.4,202.8471342821497,189.07037830993733
22,1,1,3,184.0,189.39622987417792,187.977080366637
23,2,0,2,235.0,222.58875683371815,239.33591460577156
24,2,1,2,175.0,147.13500758805952,152.10291425660657
25,2,1,2,143.0,143.32420309544372,142.8709909306604
26,2,1,2,115.0,125.41460445350504,124.60343817011577
27,2,1,2,160.0,163.00444542970646,164.8025570667309
28,2,1,2,176.0,165.8530329449149,170.34914540821742
29,2,1,2,195.0,195.0277177105955,201.64765706493012
30,2,1,2,180.0,161.90862264964144,171.5297449610269
31,2,1,2,170.0,156.75181460296537,162.8433995493261
32,2,1,2,150.0,139.3084863140378,139.50489625375948
33,0,0,0,193.0,170.85383086007954,168.5328109884757
34,0,1,0,99.03,131.78172081718813,128.81595388430853
35,0,1,0,125.86,140.3239666146825,140.78951045486778
36,0,1,0,76.98,107.70502223999979,109.77180300298322
37,0,1,0,94.7,125.20221872327579,127.97352701630761
38,0,1,0,134.78,148.12750204067626,144.28650059776095
39,0,1,0,172.15,155.60156297263137,149.10272669151652
40,0,1,0,115.53,128.60061366564452,127.5047188009139
41,0,1,0,138.83,134.73674341595108,133.861024021968
42,3,0,3,182.9,125.62299764171331,138.3232110688317
43,3,0,3,176.7,130.88366868530252,138.48583664263535
44,3,0,3,154.9,129.10549636414976,137.3631414054717
45,3,0,3,150.0,120.16258668421426,122.42084245482837
46,3,1,3,140.2,85.23570965816307,90.88158400286312
47,3,1,3,137.0,85.59782844479739,89.8587747615506
48,3,1,3,119.3,84.51324214374748,87.75378444458767
49,3,1,3,109.2,75.29666989644615,79.3050109126733
50,3,1,3,120.4,77.04255222013914,83.26058940117683
51,3,1,3,118.2,77.07242341791317,82.32354917227892
52,3,1,3,100.9,76.02551053486783,80.39507558329981
53,3,1,3,91.6,67.24006666952198,72.65478505356951
54,4,0,4,427.0,505.9870352465564,481.08752515884873
55,4,1,4,315.0,354.311073689922,329.82542541086065
56,4,1,4,222.0,349.14159762882264,300.1183378444221
57,4,1,4,210.0,336.43004180585024,295.94924807871143
58,4,1,4,339.0,320.56189365099834,336.0322149577861
59,4,1,4,300.0,318.8270648489788,325.5165176728307
60,4,1,4,261.0,320.3722270572844,319.20650868813044
62,0,1,0,110.41,86.02040752178566,88.65092325695457
63,0,1,0,158.61,128.19509777343683,132.1153212596966
64,0,1,0,71.45,83.74360946263445,87.99686649184675
65,0,1,0,87.66,64.43128869202738,69.28070625630706
66,0,1,0,123.0,104.90904077398794,112.80501422584382
67,0,1,0,56.33,66.53309941184435,70.16483030622803
68,0,1,0,73.58,58.549185906594495,62.9558873132179
69,0,1,0,102.63,100.89214338275755,108.48578526313032
70,0,1,0,43.15,60.30159585207354,63.59317809568728
71,5,0,2,83.3,209.1256759276344,194.50772273966788
72,5,1,2,76.1,171.10799654291242,168.96146897549968
73,5,1,2,54.4,160.48311997614925,156.87066933045432
74,5,1,2,72.5,159.23744583605776,153.1122655751163
75,5,1,2,81.3,167.38290935887812,157.17110800817014
76,5,1,2,72.8,159.23744583605776,153.1122655751163
77,5,1,2,71.6,159.23744583605776,153.1122655751163
78,6,0,4,590.2,785.1546492005607,774.2021275014351
79,6,1,4,550.2,597.6416271229889,611.7421293637044
80,6,1,4,517.3,511.4058822163631,517.7147949429001
81,6,1,4,452.9,534.17766517278,495.4249961228518
86,7,0,1,475.0,497.13756489373895,536.1704163771124
87,7,1,1,240.0,387.432069089526,380.2928026617851
88,7,1,1,250.0,374.19679384936575,421.06561467864543
89,7,1,1,237.0,281.7843375210385,308.69179839597683
90,7,1,1,455.0,407.73719534639685,475.49158646426224
91,7,1,1,375.0,444.35470550485996,467.5349642798882
92,7,1,1,474.0,432.8855055541212,450.8819460548953
93,7,1,1,411.0,398.4506782139015,401.31298535956216
94,1,0,3,247.0,316.6626375691515,355.26992256219506
95,1,1,3,221.0,243.73607219550166,213.7310576400022
96,1,1,3,250.0,231.87788643552588,248.9749551886138
97,1,1,3,231.0,249.98819851999292,279.7722532911098
98,1,1,3,273.0,287.9570776722266,309.6613711510223
99,8,0,2,1051.0,1226.2128497588537,1305.1455841631062
100,8,0,2,950.0,1135.629110350439,1228.8083718566402
101,8,1,2,831.0,519.6909052447546,487.1314492093306
102,8,1,2,751.0,469.81918348272205,463.4163282715202
103,8,1,2,777.0,738.5149515968122,690.635946885981
104,8,1,2,801.0,753.9730637687799,706.7399953197703
105,8,1,2,751.0,917.8884368077826,878.0227127452008
106,8,1,2,739.0,935.194541997591,884.3186160113459
107,9,0,2,362.0,276.9804738767231,323.7283996803417
108,9,1,2,276.0,233.79577328375723,238.69814331255
109,9,1,2,274.0,210.30833467744714,207.6205821627835
110,9,1,2,310.0,172.14928005678274,162.97141291717423
111,9,1,2,270.0,167.60870169998572,162.2801911391166
112,9,0,2,453.0,424.0210032069942,499.10912196688565
113,9,1,2,427.0,341.87369939792035,406.30145581033
114,9,1,2,365.0,350.091031586164,360.64049798545244
115,9,1,2,422.0,347.7681507610585,334.1470540900317
