row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,200.2394285714286,205.4046666666667
2,0,1,0,128.13,198.71466666666666,192.50766666666672
3,0,1,0,136.7,200.31466666666668,196.9649866666667
4,0,1,0,159.56,201.72841666666667,199.3050666666667
11,1,0,3,249.9,353.2140000000001,357.29905342261895
12,1,0,3,216.4,352.695,356.06805342261896
13,1,0,3,259.2,351.723,356.1808034226189
14,1,0,3,232.3,342.76000000000005,356.3808125000007
15,1,1,3,187.6,291.40736190476196,280.86608665674584
16,1,1,3,178.6,291.40736190476196,285.38058665674583
17,1,1,3,233.7,289.85736190476194,275.3838679067459
18,1,1,3,187.6,255.1217666666667,260.04704017857125
19,1,1,3,213.9,248.7217666666667,254.59704017857126
20,1,1,3,194.8,251.7817666666667,256.7070401785713
21,1,1,3,208.4,261.3986841269842,256.90837073412666
22,1,1,3,184.0,291.1336202380953,291.9774717757935
23,2,0,2,235.0,228.92196666666663,230.77172371794873
24,2,1,2,175.0,174.39809999999994,161.10105277777808
25,2,1,2,143.0,173.76406666666662,159.9956583333337
26,2,1,2,115.0,172.99456666666663,154.83248373015908
27,2,1,2,160.0,190.8611666666666,175.62083611111137
28,2,1,2,176.0,197.6088666666667,182.89882927350422
29,2,1,2,195.0,211.61816666666667,195.1358931623931
30,2,1,2,180.0,175.20609999999994,160.59151944444474
31,2,1,2,170.0,173.33806666666663,159.60132500000034
32,2,1,2,150.0,173.8670999999999,154.59226706349244
33,0,0,0,193.0,193.00142857142856,194.3408666666667
34,0,1,0,99.03,185.36,179.9151866666667
35,0,1,0,125.86,190.3,183.13234666666673
36,0,1,0,76.98,183.96,179.14518666666672
37,0,1,0,94.7,183.96,179.14518666666672
38,0,1,0,134.78,190.59,190.0949866666667
39,0,1,0,172.15,196.44,195.2009866666667
40,0,1,0,115.53,187.46,187.9097866666667
41,0,1,0,138.83,187.46,187.9097866666667
42,3,0,3,182.9,168.375,165.27902916666665
43,3,0,3,176.7,182.815,172.78777916666667
44,3,0,3,154.9,182.785,172.9208
45,3,0,3,150.0,182.585,170.8176315476191
46,3,1,3,140.2,117.90371626984124,127.72031775793639
47,3,1,3,137.0,121.23371626984124,132.01236775793635
48,3,1,3,119.3,121.14371626984125,132.85626656746018
49,3,1,3,109.2,146.1700246031746,139.40560922619042
50,3,1,3,120.4,114.56113650793647,125.29156889880926
51,3,1,3,118.2,117.89113650793647,129.53806889880923
52,3,1,3,100.9,117.80113650793646,130.41108139880924
53,3,1,3,91.6,143.01720317460314,138.22483477182516
54,4,0,4,427.0,369.8066666666666,377.9180095238095
55,4,1,4,315.0,353.1836666666666,362.0721428571429
56,4,1,4,222.0,348.9176666666666,362.1481428571429
57,4,1,4,210.0,352.4576666666666,360.3721428571429
58,4,1,4,339.0,353.1836666666666,362.0721428571429
59,4,1,4,300.0,348.9176666666666,362.1481428571429
60,4,1,4,261.0,352.4576666666666,360.3721428571429
62,0,1,0,110.41,197.92466666666667,188.80782666666673
63,0,1,0,158.61,198.92466666666667,191.49182666666673
64,0,1,0,71.45,197.92466666666667,188.52422666666675
65,0,1,0,87.66,193.97466666666668,188.0382266666667
66,0,1,0,123.0,193.97466666666668,187.91822666666673
67,0,1,0,56.33,195.878,194.1574266666667
68,0,1,0,73.58,193.97466666666668,187.91822666666673
69,0,1,0,102.63,195.57466666666667,187.8322266666667
70,0,1,0,43.15,195.57466666666667,188.11582666666672
71,5,0,2,83.3,257.62,254.6698196329812
72,5,1,2,76.1,236.38500000000005,214.70430147058767
73,5,1,2,54.4,231.70700000000005,209.6933722222216
74,5,1,2,72.5,236.38500000000005,214.70430147058767
75,5,1,2,81.3,236.38500000000005,214.70430147058767
76,5,1,2,72.8,236.38500000000005,214.70430147058767
77,5,1,2,71.6,236.38500000000005,214.70430147058767
78,6,0,4,590.2,939.1695000000001,888.5813142857141
79,6,1,4,550.2,827.4575952380956,811.1025714285713
80,6,1,4,517.3,827.4575952380956,811.1025714285713
81,6,1,4,452.9,827.4575952380956,811.1025714285713
86,7,0,1,475.0,500.47933333333333,516.6702635327636
87,7,1,1,240.0,464.77961904761906,443.5960433862431
88,7,1,1,250.0,568.5432857142858,500.16323412698415
89,7,1,1,237.0,459.35195238095235,442.85653227513177
90,7,1,1,455.0,557.8432857142858,530.1966388888887
91,7,1,1,375.0,563.5232857142859,525.134988095238
92,7,1,1,474.0,509.3102857142857,482.99870105820094
93,7,1,1,411.0,505.83728571428566,488.6454788359787
94,1,0,3,247.0,342.76000000000005,356.3808125000007
95,1,1,3,221.0,288.3492507936508,274.19953665674586
96,1,1,3,250.0,303.6682666666667,284.2602217261903
97,1,1,3,231.0,316.0906666666667,289.60538214285697
98,1,1,3,273.0,330.37466666666677,307.79964151785686
99,8,0,2,1051.0,1503.96,1260.8760000000002
100,8,0,2,950.0,1493.89,1248.7840000000003
101,8,1,2,831.0,1497.4266,1136.4925902116404
102,8,1,2,751.0,1489.0466000000001,1123.4086457671963
103,8,1,2,777.0,1482.9346000000003,1128.3433420634924
104,8,1,2,801.0,1497.8066000000001,1128.0166337301591
105,8,1,2,751.0,1457.8346000000001,1105.2784392857145
106,8,1,2,739.0,1449.5446000000002,1079.9437726190474
107,9,0,2,362.0,278.25211904761903,291.02275664983154
108,9,1,2,276.0,242.39446666666663,247.76197523809552
109,9,1,2,274.0,245.53385238095234,252.37523740981226
110,9,1,2,310.0,217.72155238095235,232.50324902597416
111,9,1,2,270.0,213.12615238095236,229.54788134920653
112,9,0,2,453.0,458.514,458.4120000000001
113,9,1,2,427.0,429.43800000000005,412.3300702380952
114,9,1,2,365.0,427.918,413.4620702380952
115,9,1,2,422.0,420.228,410.34598690476184
116,9,1,2,427.0,428.98400000000004,412.11998690476173
117,9,0,2,532.0,459.164,455.3232777777778
118,9,1,2,528.0,424.362,411.53551333333337
119,9,1,2,534.0,439.244,411.04584666666665
120,9,1,2,460.0,408.75200000000007,400.70477222222223
121,9,1,2,480.0,408.75200000000007,400.70477222222223
122,10,0,1,423.0,380.36183333333344,395.5805523809525
123,10,1,1,394.0,269.3339999999999,366.4178185185185
124,10,1,1,373.0,269.3339999999999,367.6782259259259
125,10,1,1,207.0,280.6939999999999,372.0517962962961
126,10,0,1,568.0,578.6533333333333,590.245287037037
127,10,1,1,443.0,557.4032857142859,545.5673293650792
128,10,1,1,467.0,576.2132857142858,564.5761256613754
129,10,1,1,484.0,548.9532857142858,536.686218253968
130,10,1,1,340.0,595.8032857142858,538.9958756613755
131,10,1,1,512.0,604.8832857142858,548.3027275132273
132,10,0,1,508.0,570.8333333333334,588.8524880952381
133,10,1,1,428.0,570.7932857142858,547.3833664021163
134,10,1,1,383.0,568.5832857142858,542.372533068783
135,10,1,1,420.0,570.0932857142858,554.5306812169309
136,10,0,1,455.0,629.9833333333333,598.1450925925927
137,10,1,1,511.0,605.2732857142859,543.5638015873014
138,10,1,1,488.0,558.6132857142858,545.7578849206348
139,11,0,4,649.0,453.61,469.72742857142856
140,11,1,4,529.0,416.67,426.3487619047619
141,11,1,4,612.0,419.92,424.4647619047619
142,12,0,1,101.65,65.54143333333332,159.99931392110958
143,12,1,1,90.76,69.62735833333333,131.0215693386239
144,12,1,1,79.87,50.647700000000015,121.84719193121666
145,12,1,1,68.98,49.569933333333346,124.31301662257476
146,12,1,1,90.76,66.41993333333336,123.34635489417961
147,12,1,1,88.94,66.41993333333336,130.67144219576699
148,13,0,4,495.0,560.1329999999999,562.1152000000003
149,13,1,4,373.8,462.94199999999995,458.15053333333344
150,14,0,3,57.73,78.24869999999999,85.82661666666671
151,14,1,3,49.09,78.16809999999998,83.2590538690477
152,14,1,3,51.1,78.16809999999998,83.2590538690477
153,14,1,3,44.71,78.24339999999998,83.81048645833347
154,14,1,3,57.04,78.16809999999998,84.04997708333342
155,14,1,3,56.92,78.16809999999998,84.04997708333342
156,14,1,3,55.5,78.24339999999998,84.35096145833346
157,14,0,3,70.15,76.56219999999998,90.41228333333339
158,14,1,3,45.84,76.00789999999998,87.71370922619062
159,14,1,3,49.06,76.00789999999998,87.71370922619062
