row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,168.132821609852,169.4336981182294
2,0,1,0,128.13,134.3041929234186,144.94458580443006
3,0,1,0,136.7,143.09347509973725,152.7085406793047
4,0,1,0,159.56,151.65972181854022,159.23811358131496
11,1,0,3,249.9,354.8396872476634,355.43757983535096
12,1,0,3,216.4,355.29142907395595,357.87869799179214
13,1,0,3,259.2,351.37437205052277,352.9780712521856
14,1,0,3,232.3,348.2148504779043,351.1501550848779
15,1,1,3,187.6,250.69309498647064,223.52300345066504
16,1,1,3,178.6,259.9856853900672,225.74290928090085
17,1,1,3,233.7,248.38791696833155,222.3527045027547
18,1,1,3,187.6,203.51420465272508,194.79514850338984
19,1,1,3,213.9,199.422477428175,191.71228378919344
20,1,1,3,194.8,202.28167382317113,195.28328257573858
21,1,1,3,208.4,207.86746920715294,189.33275005172084
22,1,1,3,184.0,202.62565070095715,180.83550535248244
23,2,0,2,235.0,217.14355145510942,227.27596036361155
24,2,1,2,175.0,142.48222134815506,149.13472557594824
25,2,1,2,143.0,136.84386953496144,135.30208174586818
26,2,1,2,115.0,124.58485951914638,122.34166082971173
27,2,1,2,160.0,164.40740999391218,160.15089731368164
28,2,1,2,176.0,172.91734737569095,173.0547035183428
29,2,1,2,195.0,190.46897673634123,189.82994636612426
30,2,1,2,180.0,161.48529554117317,161.13291614032266
31,2,1,2,170.0,154.040869011237,153.4523522990209
32,2,1,2,150.0,143.3253727197291,144.826395062162
33,0,0,0,193.0,162.36826451495182,160.66378698295765
34,0,1,0,99.03,113.28625044932731,125.3667201234131
35,0,1,0,125.86,135.53346719552633,144.56844890859347
36,0,1,0,76.98,103.97378406700376,108.00213037716567
37,0,1,0,94.7,127.3240335876363,129.27252534507798
38,0,1,0,134.78,143.8390037588699,147.62504363718998
39,0,1,0,172.15,147.3633609383925,151.76041229632295
40,0,1,0,115.53,131.8812188986485,132.01019467975996
41,0,1,0,138.83,138.10502469952615,137.95222610610625
42,3,0,3,182.9,151.64547016313105,150.05979900492616
43,3,0,3,176.7,156.58465726229034,148.95849240309138
44,3,0,3,154.9,153.38948883355985,145.77608118251996
45,3,0,3,150.0,146.408271287632,137.62306708212103
46,3,1,3,140.2,73.36810853332288,85.73806620186105
47,3,1,3,137.0,72.66518445892093,84.14580009042247
48,3,1,3,119.3,69.75870240296602,82.02247566668177
49,3,1,3,109.2,66.55696342392648,78.13970493548712
50,3,1,3,120.4,63.71244454555232,79.44460851887025
51,3,1,3,118.2,63.11068363825306,77.9692200072694
52,3,1,3,100.9,60.68549239806505,75.91851432184491
53,3,1,3,91.6,58.059960674401744,72.11143421026671
54,4,0,4,427.0,500.1344654033755,476.28943605826004
55,4,1,4,315.0,361.3145210494149,325.87792445004055
56,4,1,4,222.0,331.84174417092095,302.6906031603253
