row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,158.72605895996094,167.7573699951172
2,0,1,0,128.13,131.84487915039062,114.01302337646484
3,0,1,0,136.7,133.8406982421875,115.61559295654297
4,0,1,0,159.56,147.638427734375,117.85810852050781
11,1,0,3,249.9,367.2983093261719,372.42962646484375
12,1,0,3,216.4,349.8523254394531,371.5396728515625
13,1,0,3,259.2,364.84515380859375,370.3390197753906
14,1,0,3,232.3,360.7283630371094,361.6385192871094
15,1,1,3,187.6,347.7264709472656,292.31689453125
16,1,1,3,178.6,346.84344482421875,287.4190979003906
17,1,1,3,233.7,336.6278991699219,280.3620910644531
18,1,1,3,187.6,277.9953308105469,250.39576721191406
19,1,1,3,213.9,270.256103515625,245.33145141601562
20,1,1,3,194.8,277.8232727050781,250.39576721191406
21,1,1,3,208.4,310.6676330566406,265.4129638671875
22,1,1,3,184.0,360.201416015625,300.9936218261719
23,2,0,2,235.0,237.6260986328125,287.4571228027344
24,2,1,2,175.0,152.1903839111328,219.67262268066406
25,2,1,2,143.0,148.49000549316406,209.86619567871094
26,2,1,2,115.0,135.13711547851562,195.06829833984375
27,2,1,2,160.0,182.35107421875,241.6143798828125
28,2,1,2,176.0,196.73089599609375,242.2108612060547
29,2,1,2,195.0,215.09832763671875,257.3184509277344
30,2,1,2,180.0,151.87124633789062,209.81866455078125
31,2,1,2,170.0,148.49000549316406,209.86619567871094
32,2,1,2,150.0,129.92491149902344,187.72854614257812
33,0,0,0,193.0,149.23280334472656,146.2175750732422
34,0,1,0,99.03,116.41838836669922,114.8604965209961
35,0,1,0,125.86,108.57765197753906,114.8604965209961
36,0,1,0,76.98,126.58562469482422,89.37379455566406
37,0,1,0,94.7,126.58562469482422,89.37379455566406
38,0,1,0,134.78,145.675048828125,120.17556762695312
39,0,1,0,172.15,159.1529541015625,121.99072265625
40,0,1,0,115.53,156.5121612548828,95.50325012207031
41,0,1,0,138.83,156.5121612548828,96.31759643554688
42,3,0,3,182.9,139.68569946289062,142.65664672851562
43,3,0,3,176.7,144.79539489746094,145.7062530517578
44,3,0,3,154.9,132.10707092285156,141.8951416015625
45,3,0,3,150.0,134.66357421875,135.72637939453125
46,3,1,3,140.2,92.63349914550781,86.83905029296875
47,3,1,3,137.0,96.5671157836914,89.88861083984375
48,3,1,3,119.3,87.10865020751953,83.44804382324219
