row754,series,has_opening,fold,V_exp,V_def,V_opt
1,0,0,0,201.73,157.97896380284917,164.47382896220267
2,0,1,0,128.13,121.40716430806984,132.74170580631088
3,0,1,0,136.7,119.67281848045936,141.8630008310278
4,0,1,0,159.56,129.97957201080195,151.06174733089188
11,1,0,3,249.9,354.61175206176785,295.04101980930477
12,1,0,3,216.4,341.2744175926682,291.04087552831186
13,1,0,3,259.2,349.62779848465857,296.63565018237756
14,1,0,3,232.3,337.30492599605304,344.18617714399977
15,1,1,3,187.6,273.2443168938461,241.4282396477716
16,1,1,3,178.6,274.8059874086778,242.66214466122386
17,1,1,3,233.7,268.2630325414675,232.35286586516645
18,1,1,3,187.6,218.96241858633934,195.70764478834553
19,1,1,3,213.9,207.4375717918323,190.71652775622726
20,1,1,3,194.8,219.17613734147844,194.20016152589952
21,1,1,3,208.4,222.39277856843213,161.40948803995732
22,1,1,3,184.0,248.58726502090238,212.48312284111194
23,2,0,2,235.0,250.67656690709651,247.07610154805727
24,2,1,2,175.0,142.76958681358545,153.63513801070005
25,2,1,2,143.0,129.43773076024368,150.3722247545711
26,2,1,2,115.0,110.0087898093778,128.6857536581498
27,2,1,2,160.0,163.97667410889522,172.27753507649797
28,2,1,2,176.0,179.23196276568123,179.35158563573643
29,2,1,2,195.0,232.6720311467479,221.6353323157226
30,2,1,2,180.0,164.5960953858425,173.49859858316609
31,2,1,2,170.0,157.68820889502112,164.8501202698768
32,2,1,2,150.0,142.76585887868805,147.65895079475024
33,0,0,0,193.0,151.4477338777083,155.92732330796872
34,0,1,0,99.03,106.51658129312932,112.32513288334987
35,0,1,0,125.86,131.10863284413654,135.22192647719262
36,0,1,0,76.98,86.38301250101273,98.57851296676633
37,0,1,0,94.7,119.55104360587423,116.70231585552345
38,0,1,0,134.78,134.37948494023308,141.63797295659234
39,0,1,0,172.15,139.58608638384612,146.3184827694442
40,0,1,0,115.53,119.29504099485183,120.40595134541788
41,0,1,0,138.83,125.55216241310217,126.0855278299218
42,3,0,3,182.9,146.99065996960508,146.23277607274434
43,3,0,3,176.7,152.0000373050487,153.9295753877869
44,3,0,3,154.9,146.82890909375152,144.18575572860314
45,3,0,3,150.0,131.4247691645414,134.68939744995714
46,3,1,3,140.2,83.48583556316935,95.64254714891105
47,3,1,3,137.0,85.34829700564136,94.59746438918835
48,3,1,3,119.3,82.19229147350315,89.10020765538373
49,3,1,3,109.2,75.75773179535797,78.64585501192528
50,3,1,3,120.4,74.49251880744546,84.26065917402485
51,3,1,3,118.2,76.15434166305188,83.3399462304475
52,3,1,3,100.9,71.1352847422763,77.56165286327337
