model,form,R2,RMSE,MAE,MAPE,MAE_fold_sd,oR2,oRMSE,oMAE,oMAPE
CatBoost,Data-driven,0.8832257188958905,116.42240220448399,64.82199417174222,21.6187340483015,19.326781340527074,0.7577192201038332,93.91022462800213,62.30233737176795,33.861395236228404
CatBoost,EC2-informed,0.9350668867752948,86.8152594999726,51.03880049735966,17.173856607213867,11.09684106736533,0.7996843966692989,85.39074204381022,54.70864981301651,27.767240338771675
GBRT,Data-driven,0.8607049810290812,127.15421127036926,69.05035407612998,22.113411623673745,22.353149874434212,0.3377414545538683,155.26271755524965,78.86724893470267,36.525424079510685
GBRT,EC2-informed,0.928380119427397,91.17583538134734,52.604546294769165,16.70843016721761,9.729361839091629,0.8291391434929053,78.86325304847371,50.87543063794262,25.45165897929834
XGBoost,Data-driven,0.8807331874246195,117.65835206300414,67.1189501174698,22.79558547791239,18.866012326635282,0.4840674088942535,137.04079812029374,79.53016112237363,38.100965492415625
XGBoost,EC2-informed,0.9380932974497282,84.76797155972272,51.05650664048202,16.54450188938724,11.824541938121344,0.8003347037179149,85.25202258736067,51.93333028718048,25.340852402942694
LightGBM,Data-driven,0.8692744839756401,123.18083319192435,70.69009150442842,22.547263485667536,19.872236301682197,0.6015898015509605,120.42554524343733,70.97539465866939,34.836279016302385
LightGBM,EC2-informed,0.9324280348833631,88.56175811325298,51.842801414458066,16.665207458032484,9.853038418692897,0.8123455443707772,82.64809318556966,51.740551242596354,25.14575093672598
AdaBoost,Data-driven,0.8166319496528367,145.8897528650501,80.6452027359689,28.992690092150355,26.64089593942159,0.3081285767325672,158.69604169005717,103.11343020664577,56.95759888033112
AdaBoost,EC2-informed,0.915176185145226,99.22517079738722,54.44948736057797,17.003847304486058,16.04899601568636,0.6890931571425223,106.3820948800925,61.833048640132944,27.764610107910777
RF,Data-driven,0.8247111145653678,142.63961064590808,77.15854292690965,26.935750758233002,21.829455131709526,0.5887260924151165,122.35422671430811,84.3215538885777,49.833802429661695
RF,EC2-informed,0.9334833984266713,87.86744153742441,51.929969284340224,17.126952168623365,11.98388847114038,0.7575717444086291,93.93880173753541,59.28659081019373,28.6146408780381
