row_in_workbook,series,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Num_Openings,Opening_Shape,Opening_Pos,col_shape,Vu_kN,Vu_ACI318_kN,Vu_EC2_kN,EC2_perimeter_ratio
1,0,opening_programme,False,100.0,200.0,25.6,5.059644256269407,0.39,10.0,0,1000.0,0.0,0,0,Square,201.73,200.3619125482685,159.42692977355463,1.0
2,0,opening_programme,True,100.0,200.0,24.8,4.979959839195493,0.39,10.0,300,100.0,1.0,Square,Parallel,Square,128.13,160.230207826115,125.73354309213728,0.7970499999999999
3,0,opening_programme,True,100.0,200.0,25.0,5.0,0.39,10.0,300,200.0,1.0,Square,Parallel,Square,136.7,173.25000000000003,135.4660218748962,0.8564499999999999
4,0,opening_programme,True,100.0,200.0,24.9,4.9899899799498595,0.39,10.0,300,400.0,1.0,Square,Parallel,Square,159.56,182.78333296556335,144.13093988436046,0.91245
11,1,opening_programme,False,110.0,150.0,41.6,6.44980619863884,1.62,8.181818181818182,0,1000.0,0.0,-,0,Square,249.9,243.4930836110135,319.4484977302216,1.0
12,1,opening_programme,False,110.0,150.0,41.6,6.44980619863884,1.65,8.181818181818182,0,1000.0,0.0,-,0,Square,216.4,243.4930836110135,321.4083534919488,1.0
13,1,opening_programme,False,110.0,150.0,41.6,6.44980619863884,1.58,8.181818181818182,0,1000.0,0.0,-,0,Square,259.2,243.4930836110135,316.7973506188359,1.0
14,1,opening_programme,False,110.0,150.0,39.8,6.308724118235001,1.58,8.181818181818182,0,1000.0,0.0,-,0,Square,232.3,238.16695291160775,312.1606248698078,1.0
15,1,opening_programme,True,110.0,150.0,44.5,6.670832032063167,1.28,8.181818181818182,150,0.0,1.0,Circular,Parallel,Square,187.6,215.49713557326572,252.45447616848665,0.83585
16,1,opening_programme,True,110.0,150.0,44.5,6.670832032063167,1.34,8.181818181818182,150,0.0,1.0,Circular,Parallel,Square,178.6,215.49713557326572,256.33899953278143,0.83585
17,1,opening_programme,True,110.0,150.0,44.5,6.670832032063167,1.26,8.181818181818182,150,0.0,1.0,Circular,Parallel,Square,233.7,215.49713557326572,251.13270076598116,0.83585
