row_in_workbook,source,has_opening,d_mm,c_mm,fc_MPa,sqrt_fc,rho_percent,a_over_d,Dop_mm,Sop_mm,Vu_kN,subset,Vu_ACI318_kN,Vu_EC2_kN,Vu_ElShafiey_kN,Vu_Koroglu_kN
1,opening study,0,100.0,200.0,25.6,5.0596,0.39,10.0,0,1000.0,201.73,train,200.36,159.43,,
2,opening study,1,100.0,200.0,24.8,4.98,0.39,10.0,300,100.0,128.13,train,160.23,134.74,184.88,182.42
3,opening study,1,100.0,200.0,25.0,5.0,0.39,10.0,300,200.0,136.7,test,173.25,135.1,185.62,183.15
4,opening study,1,100.0,200.0,24.9,4.99,0.39,10.0,300,400.0,159.56,train,182.78,144.14,185.25,182.78
11,opening study,0,110.0,150.0,41.6,6.4498,1.62,8.1818,0,1000.0,249.9,train,243.49,319.45,,
12,opening study,0,110.0,150.0,41.6,6.4498,1.65,8.1818,0,1000.0,216.4,train,243.49,321.41,,
13,opening study,0,110.0,150.0,41.6,6.4498,1.58,8.1818,0,1000.0,259.2,train,243.49,316.8,,
14,opening study,0,110.0,150.0,39.8,6.3087,1.58,8.1818,0,1000.0,232.3,train,238.17,312.16,,
15,opening study,1,110.0,150.0,44.5,6.6708,1.28,8.1818,150,0.0,187.6,train,251.84,302.03,242.76,240.94
16,opening study,1,110.0,150.0,44.5,6.6708,1.34,8.1818,150,0.0,178.6,train,251.84,306.68,242.76,240.94
17,opening study,1,110.0,150.0,44.5,6.6708,1.26,8.1818,150,0.0,233.7,test,251.84,300.45,242.76,240.94
18,opening study,1,110.0,150.0,35.2,5.933,1.14,8.1818,150,0.0,187.6,train,223.98,268.75,215.9,214.29
19,opening study,1,110.0,150.0,35.2,5.933,1.08,8.1818,150,0.0,213.9,train,223.98,263.95,215.9,214.29
20,opening study,1,110.0,150.0,35.2,5.933,1.12,8.1818,150,0.0,194.8,train,223.98,267.17,215.9,214.29
21,opening study,1,110.0,150.0,41.4,6.4343,1.17,8.1818,150,0.0,208.4,train,242.91,286.15,234.15,232.4
22,opening study,1,110.0,150.0,40.0,6.3246,1.29,8.1818,75,0.0,184.0,train,238.76,292.25,234.46,233.6
